seq,window,n_frames,zero_rate,lowconf_rate
fall-01,"pre[-2,-0.5]",45,0.0,0.0
fall-01,"pre[-0.5,-0.3]",6,0.0,0.0
fall-01,"pre[-0.3,-0.2]",3,0.0,0.0
fall-01,"pre[-0.2,0]",6,0.0,0.0
fall-01,"post[0,0.2]",6,0.0,0.0
fall-01,"post[0.2,0.5]",9,0.7778,0.7778
fall-01,"post[0.5,1]",15,1.0,1.0
fall-01,"post[1,2]",26,1.0,1.0
fall-02,"pre[-2,-0.5]",45,0.0,0.0
fall-02,"pre[-0.5,-0.3]",6,0.0,0.0
fall-02,"pre[-0.3,-0.2]",3,0.0,0.0
fall-02,"pre[-0.2,0]",6,0.0,0.0
fall-02,"post[0,0.2]",6,0.0,0.0
fall-02,"post[0.2,0.5]",9,0.7778,0.7778
fall-02,"post[0.5,1]",15,0.8667,1.0
fall-02,"post[1,2]",1,1.0,1.0
fall-03,"pre[-2,-0.5]",45,0.0,0.3333
fall-03,"pre[-0.5,-0.3]",6,0.0,0.0
fall-03,"pre[-0.3,-0.2]",3,0.0,0.0
fall-03,"pre[-0.2,0]",6,0.0,0.0
fall-03,"post[0,0.2]",6,0.0,0.1667
fall-03,"post[0.2,0.5]",9,0.0,0.6667
fall-03,"post[0.5,1]",15,0.1333,0.6667
fall-03,"post[1,2]",16,0.125,0.625
fall-04,"pre[-2,-0.5]",17,0.0,0.0
fall-04,"pre[-0.5,-0.3]",6,0.0,0.0
fall-04,"pre[-0.3,-0.2]",3,0.0,0.0
fall-04,"pre[-0.2,0]",6,0.0,0.0
fall-04,"post[0,0.2]",6,0.0,0.0
fall-04,"post[0.2,0.5]",9,0.4444,0.4444
fall-04,"post[0.5,1]",12,1.0,1.0
fall-04,"post[1,2]",0,,
fall-05,"pre[-2,-0.5]",45,0.0,0.0
fall-05,"pre[-0.5,-0.3]",6,0.0,0.0
fall-05,"pre[-0.3,-0.2]",3,0.0,0.0
fall-05,"pre[-0.2,0]",6,0.0,0.0
fall-05,"post[0,0.2]",6,0.0,0.0
fall-05,"post[0.2,0.5]",9,1.0,1.0
fall-05,"post[0.5,1]",15,0.2,0.9333
fall-05,"post[1,2]",5,0.0,0.4
fall-06,"pre[-2,-0.5]",21,0.0,0.0
fall-06,"pre[-0.5,-0.3]",6,0.0,0.0
fall-06,"pre[-0.3,-0.2]",3,0.0,0.0
fall-06,"pre[-0.2,0]",6,0.0,0.0
fall-06,"post[0,0.2]",6,0.0,0.0
fall-06,"post[0.2,0.5]",9,0.0,0.0
fall-06,"post[0.5,1]",15,0.0,0.0
fall-06,"post[1,2]",30,0.0,0.0333
fall-07,"pre[-2,-0.5]",45,0.0,0.0
fall-07,"pre[-0.5,-0.3]",6,0.0,0.0
fall-07,"pre[-0.3,-0.2]",3,0.0,0.0
fall-07,"pre[-0.2,0]",6,0.0,0.0
fall-07,"post[0,0.2]",6,0.0,0.0
fall-07,"post[0.2,0.5]",9,0.3333,0.4444
fall-07,"post[0.5,1]",15,0.6667,0.9333
fall-07,"post[1,2]",23,0.3043,1.0
fall-08,"pre[-2,-0.5]",31,0.0,0.0
fall-08,"pre[-0.5,-0.3]",6,0.0,0.0
fall-08,"pre[-0.3,-0.2]",3,0.0,0.0
fall-08,"pre[-0.2,0]",6,0.0,0.0
fall-08,"post[0,0.2]",6,0.0,0.0
fall-08,"post[0.2,0.5]",9,0.0,0.0
fall-08,"post[0.5,1]",15,0.0,0.0
fall-08,"post[1,2]",15,0.0667,0.0667
fall-09,"pre[-2,-0.5]",45,0.0,0.0
fall-09,"pre[-0.5,-0.3]",6,0.0,0.0
fall-09,"pre[-0.3,-0.2]",3,0.0,0.0
fall-09,"pre[-0.2,0]",6,0.0,0.0
fall-09,"post[0,0.2]",6,0.0,0.0
fall-09,"post[0.2,0.5]",9,0.6667,0.6667
fall-09,"post[0.5,1]",10,0.8,1.0
fall-09,"post[1,2]",0,,
fall-10,"pre[-2,-0.5]",40,0.0,0.0
fall-10,"pre[-0.5,-0.3]",6,0.0,0.0
fall-10,"pre[-0.3,-0.2]",3,0.0,0.0
fall-10,"pre[-0.2,0]",6,0.0,0.0
fall-10,"post[0,0.2]",6,0.0,0.0
fall-10,"post[0.2,0.5]",9,0.3333,0.4444
fall-10,"post[0.5,1]",15,0.9333,0.9333
fall-10,"post[1,2]",30,0.7,1.0
fall-11,"pre[-2,-0.5]",45,0.0,0.0
fall-11,"pre[-0.5,-0.3]",6,0.0,0.0
fall-11,"pre[-0.3,-0.2]",3,0.0,0.0
fall-11,"pre[-0.2,0]",6,0.0,0.0
fall-11,"post[0,0.2]",6,0.0,0.0
fall-11,"post[0.2,0.5]",9,0.0,0.0
fall-11,"post[0.5,1]",15,0.0,0.0
fall-11,"post[1,2]",30,0.0,0.0
fall-12,"pre[-2,-0.5]",25,0.0,0.0
fall-12,"pre[-0.5,-0.3]",6,0.0,0.0
fall-12,"pre[-0.3,-0.2]",3,0.0,0.0
fall-12,"pre[-0.2,0]",6,0.0,0.0
fall-12,"post[0,0.2]",6,0.0,0.0
fall-12,"post[0.2,0.5]",9,0.0,0.0
fall-12,"post[0.5,1]",15,0.1333,0.1333
fall-12,"post[1,2]",30,0.0667,0.0667
fall-13,"pre[-2,-0.5]",45,0.0,0.0
fall-13,"pre[-0.5,-0.3]",6,0.0,0.0
fall-13,"pre[-0.3,-0.2]",3,0.0,0.0
fall-13,"pre[-0.2,0]",6,0.0,0.0
fall-13,"post[0,0.2]",6,0.0,0.0
fall-13,"post[0.2,0.5]",9,0.0,0.0
