feature,AUC,cohen_d,n_pos,n_neg
hip_mid_y_min,0.7708,1.153,300,8191
rh_y_min,0.7113,0.888,300,8191
body_h_min,0.6942,0.666,300,8191
body_h_delta,0.68,0.285,300,8191
torso_ok_min,0.6731,0.542,300,8191
nose_y_min,0.6678,0.821,300,8191
ls_y_min,0.6678,0.858,300,8191
torso_ok_delta,0.6504,0.223,300,8191
hip_mid_y_delta,0.6212,-0.078,300,8191
ls_y_delta,0.5879,-0.101,300,8191
ls_x_min,0.5866,0.003,300,8191
torso_angle_min,0.5604,-0.112,300,8191
rh_x_min,0.5257,-0.201,300,8191
nose_x_min,0.5253,-0.155,300,8191
nose_y_delta,0.5241,-0.258,300,8191
rh_x_cur,0.5221,0.146,300,8191
sh_mid_y_min,0.5199,-0.036,300,8191
aspect_max,0.5139,0.122,300,8191
nose_x_cur,0.5113,0.151,300,8191
rh_y_delta,0.5058,-0.292,300,8191
sh_mid_y_max,0.5055,0.101,300,8191
torso_angle_max,0.5051,0.103,300,8191
rh_x_max,0.5015,0.049,300,8191
nose_x_max,0.5013,0.091,300,8191
ls_x_max,0.501,0.009,300,8191
nose_x_mean,0.5008,0.16,300,8191
ls_x_cur,0.4992,-0.05,300,8191
rh_x_mean,0.4977,-0.165,300,8191
aspect_min,0.4889,-0.078,300,8191
torso_angle_cur,0.4763,-0.019,300,8191
ls_x_mean,0.4695,0.187,300,8191
rh_x_delta,0.4666,-0.327,300,8191
nose_x_delta,0.4477,-0.08,300,8191
body_h_mean,0.4457,-0.076,300,8191
ls_y_mean,0.4451,-0.137,300,8191
torso_ok_mean,0.4428,-0.081,300,8191
ls_x_delta,0.4386,0.028,300,8191
ls_y_max,0.4386,-0.002,300,8191
sh_mid_y_slope,0.4237,-0.131,300,8191
sh_mid_y_cur,0.4206,-0.146,300,8191
rh_y_max,0.4196,-0.374,300,8191
aspect_slope,0.4159,-0.144,300,8191
aspect_cur,0.4148,-0.259,300,8191
nose_y_max,0.4141,-0.134,300,8191
ls_x_slope,0.4132,-0.247,300,8191
torso_angle_mean,0.3992,-0.164,300,8191
torso_ok_max,0.3971,-0.209,300,8191
rh_y_slope,0.3913,-0.275,300,8191
aspect_delta,0.3884,-0.224,300,8191
body_h_max,0.3821,-0.256,300,8191
hip_mid_y_mean,0.378,-0.318,300,8191
nose_y_mean,0.3769,-0.332,300,8191
sh_mid_y_delta,0.3755,-0.275,300,8191
torso_angle_delta,0.3754,-0.293,300,8191
aspect_mean,0.3712,-0.234,300,8191
nose_x_slope,0.3669,-0.394,300,8191
rh_y_cur,0.3656,-0.415,300,8191
hip_mid_y_max,0.3653,-0.326,300,8191
rh_x_slope,0.3531,-0.471,300,8191
rh_y_mean,0.3527,-0.441,300,8191
sh_mid_y_mean,0.3379,-0.334,300,8191
torso_angle_slope,0.3315,-0.404,300,8191
nose_y_slope,0.3112,-0.486,300,8191
ls_y_slope,0.3051,-0.696,300,8191
body_h_slope,0.2902,-0.985,300,8191
torso_ok_slope,0.2897,-0.982,300,8191
hip_mid_y_slope,0.285,-0.92,300,8191
nose_y_cur,0.2811,-0.649,300,8191
ls_y_cur,0.2605,-0.778,300,8191
body_h_cur,0.2563,-1.01,300,8191
torso_ok_cur,0.2457,-1.085,300,8191
hip_mid_y_cur,0.2398,-0.984,300,8191
