seq,onset_ts,impact_ts,onset2imp_ms,first_alarm_ms,n_events,alarm_delay_from_onset_ms,alarm_lead_ms,in_qual_win_0.5,hit_0.5
fall-01,2702,3470,768,3270,1,568,200,False,0
fall-06,300,1201,901,1268,1,968,-67,False,0
fall-11,1568,2202,634,1935,1,367,267,False,0
fall-16,500,1334,834,800,1,300,534,True,1
fall-21,634,1401,767,,0,,,False,0
fall-26,367,1167,800,734,1,367,433,False,0
fall-02,1268,2035,767,1368,1,100,667,True,1
fall-07,2769,3437,668,700,1,-2069,2737,False,0
fall-12,767,1334,567,1067,1,300,267,False,0
fall-17,1902,2502,600,2335,1,433,167,False,0
fall-22,66,800,734,467,1,401,333,False,0
fall-27,1635,2435,800,,0,,,False,0
fall-03,4895,5677,782,4929,1,34,748,True,1
fall-08,934,1534,600,734,1,-200,800,False,0
fall-13,1401,2068,667,,0,,,False,0
fall-18,467,1167,700,667,1,200,500,True,1
fall-23,834,1568,734,700,1,-134,868,False,0
fall-28,834,1601,767,900,1,66,701,True,1
fall-04,400,1067,667,300,1,-100,767,False,0
fall-09,3970,4638,668,4237,1,267,401,False,0
fall-14,467,1167,700,,0,,,False,0
fall-19,767,1568,801,1001,1,234,567,True,1
fall-24,333,934,601,367,1,34,567,True,1
fall-29,1568,2369,801,2035,1,467,334,False,0
fall-05,2569,3303,734,,0,,,False,0
fall-10,1268,1835,567,834,1,-434,1001,False,0
fall-15,867,1568,701,1134,1,267,434,False,0
fall-20,533,1334,801,0,2,-533,1334,False,0
fall-25,1434,2135,701,,0,,,False,0
fall-30,767,1568,801,0,1,-767,1568,False,0
