seq,onset_ts,impact_ts,onset2imp_ms,deadline_ms,first_alarm_ms,first_alarm_delay_ms,lead_ms,margin_ms,status,my_hit_0.5,archived_hit_0.5
fall-01,2702,3470,768,268,3270,568,200,-300,MISS(alarm),0,0
fall-06,300,1201,901,401,1268,968,-67,-567,MISS(alarm),0,0
fall-11,1568,2202,634,134,1935,367,267,-233,MISS(alarm),0,0
fall-16,500,1334,834,334,800,300,534,34,HIT,1,1
fall-21,634,1401,767,267,,,,,MISS(never-alarm),0,0
fall-26,367,1167,800,300,734,367,433,-67,MISS(alarm),0,0
fall-02,1268,2035,767,267,1368,100,667,167,HIT,1,1
fall-07,2769,3437,668,168,700,-2069,2737,2237,MISS(alarm),0,0
fall-12,767,1334,567,67,1067,300,267,-233,MISS(alarm),0,0
fall-17,1902,2502,600,100,2335,433,167,-333,MISS(alarm),0,0
fall-22,66,800,734,234,467,401,333,-167,MISS(alarm),0,0
fall-27,1635,2435,800,300,,,,,MISS(never-alarm),0,0
fall-03,4895,5677,782,282,4929,34,748,248,HIT,1,1
fall-08,934,1534,600,100,734,-200,800,300,MISS(alarm),0,0
fall-13,1401,2068,667,167,,,,,MISS(never-alarm),0,0
fall-18,467,1167,700,200,667,200,500,0,HIT,1,1
fall-23,834,1568,734,234,700,-134,868,368,MISS(alarm),0,0
fall-28,834,1601,767,267,900,66,701,201,HIT,1,1
fall-04,400,1067,667,167,300,-100,767,267,MISS(alarm),0,0
fall-09,3970,4638,668,168,4237,267,401,-99,MISS(alarm),0,0
fall-14,467,1167,700,200,,,,,MISS(never-alarm),0,0
fall-19,767,1568,801,301,1001,234,567,67,HIT,1,1
fall-24,333,934,601,101,367,34,567,67,HIT,1,1
fall-29,1568,2369,801,301,2035,467,334,-166,MISS(alarm),0,0
fall-05,2569,3303,734,234,,,,,MISS(never-alarm),0,0
fall-10,1268,1835,567,67,834,-434,1001,501,MISS(alarm),0,0
fall-15,867,1568,701,201,1134,267,434,-66,MISS(alarm),0,0
fall-20,533,1334,801,301,0,-533,1334,834,MISS(alarm),0,0
fall-25,1434,2135,701,201,,,,,MISS(never-alarm),0,0
fall-30,767,1568,801,301,0,-767,1568,1068,MISS(alarm),0,0
