seq,type,total_frames,A_terminal_only_confirm,A_terminal_only_descent_first,A_terminal_only_delay_s,B_descent_only_confirm,B_descent_only_descent_first,B_descent_only_delay_s,C_combined_confirm,C_combined_descent_first,C_combined_delay_s
fall-01,fall,160,117,110,0.433,110,110,0.2,117,110,0.433
fall-02,fall,92,74,63,0.433,63,63,0.067,74,63,0.433
fall-03,fall,215,195,169,0.867,169,169,0.0,195,169,0.867
fall-04,fall,59,48,36,0.533,36,36,0.133,48,36,0.533
fall-05,fall,134,110,102,0.367,102,102,0.1,110,102,0.367
fall-06,fall,100,51,39,0.5,39,39,0.1,51,39,0.5
fall-07,fall,156,126,101,0.767,101,101,-0.067,126,101,0.767
fall-08,fall,91,70,74,0.8,74,74,0.933,74,74,0.933
fall-09,fall,164,153,135,0.467,135,135,-0.133,153,135,0.467
fall-10,fall,118,75,62,0.667,62,62,0.233,75,62,0.667
fall-11,fall,130,91,65,0.833,65,65,-0.033,91,65,0.833
fall-12,fall,110,61,50,0.7,50,50,0.333,61,50,0.7
fall-13,fall,85,,,,,,,,,
fall-14,fall,61,,37,,37,37,0.067,,37,
fall-15,fall,68,56,46,0.3,46,46,-0.033,56,46,0.3
fall-16,fall,55,50,39,0.333,39,39,-0.033,50,39,0.333
fall-17,fall,91,82,83,0.233,83,83,0.267,83,83,0.267
fall-18,fall,41,,36,,36,36,0.033,,36,
fall-19,fall,51,,50,,50,50,0.1,,50,
fall-20,fall,110,55,48,0.5,48,48,0.267,55,48,0.5
fall-21,fall,47,42,46,0.0,46,46,0.133,,46,
fall-22,fall,55,35,25,0.367,25,25,0.033,35,25,0.367
fall-23,fall,75,60,51,0.433,51,51,0.133,60,51,0.433
fall-24,fall,37,,28,,28,28,0.0,,28,
fall-25,fall,68,,66,,66,66,0.067,,66,
fall-26,fall,38,,36,,36,36,0.033,,36,
fall-27,fall,76,,74,,74,74,0.033,,74,
fall-28,fall,56,,47,,47,47,-0.033,,47,
fall-29,fall,99,79,73,0.267,73,73,0.067,79,73,0.267
fall-30,fall,47,,,,,,,,,
adl-10,adl,300,,209,,209,209,,,209,
adl-11,adl,300,0,198,,198,198,,,198,
adl-21,adl,234,0,29,,29,29,,174,29,
adl-22,adl,172,0,127,,127,127,,,127,
adl-30,adl,252,0,186,,186,186,,192,186,
adl-31,adl,250,152,78,,78,78,,,78,
adl-32,adl,200,115,83,,83,83,,115,83,
adl-33,adl,200,129,94,,94,94,,129,94,
adl-34,adl,190,122,32,,32,32,,,32,
adl-35,adl,280,97,86,,86,86,,97,86,
adl-39,adl,270,0,,,,,,,,
