seq,type,descent_triggered,first_descent_frame,descent_rel_impact_s,n_descent_frames,max_bbox_h_drop
fall-01,fall,True,110,0.2,19,0.6627
fall-02,fall,True,63,0.067,29,0.7849
fall-03,fall,True,169,0.0,30,0.7479
fall-04,fall,True,36,0.133,9,0.5491
fall-05,fall,True,102,0.1,17,0.5142
fall-06,fall,True,39,0.1,28,0.6858
fall-07,fall,True,101,-0.067,26,0.7546
fall-08,fall,True,74,0.933,5,0.6409
fall-09,fall,True,135,-0.133,26,0.6478
fall-10,fall,True,62,0.233,7,0.6234
fall-11,fall,True,65,-0.033,37,0.776
fall-12,fall,True,50,0.333,22,0.6419
fall-13,fall,False,,,0,0.0617
fall-14,fall,True,37,0.067,1,0.4548
fall-15,fall,True,46,-0.033,10,0.6215
fall-16,fall,True,39,-0.033,16,0.7109
fall-17,fall,True,83,0.267,8,0.645
fall-18,fall,True,36,0.033,5,0.6133
fall-19,fall,True,50,0.1,1,0.4709
fall-20,fall,True,48,0.267,26,0.6443
fall-21,fall,True,46,0.133,1,0.512
fall-22,fall,True,25,0.033,28,0.6393
fall-23,fall,True,51,0.133,22,0.5703
fall-24,fall,True,28,0.0,9,0.6475
fall-25,fall,True,66,0.067,2,0.4702
fall-26,fall,True,36,0.033,2,0.4943
fall-27,fall,True,74,0.033,2,0.4871
fall-28,fall,True,47,-0.033,9,0.5413
fall-29,fall,True,73,0.067,24,0.6959
fall-30,fall,False,,,0,0.3931
adl-10,adl,True,209,,24,0.7503
adl-11,adl,True,198,,28,0.7392
adl-21,adl,True,29,,37,0.7213
adl-22,adl,True,127,,10,0.746
adl-30,adl,True,186,,7,0.7305
adl-31,adl,True,78,,6,0.7027
adl-32,adl,True,83,,14,0.6459
adl-33,adl,True,94,,23,0.6027
adl-34,adl,True,32,,7,0.7083
adl-35,adl,True,86,,13,0.7702
adl-39,adl,False,,,0,0.5159
