seq,n_frames,impact_frame,zero_pose_ratio,fallwin_total,fallwin_zero_ratio,fallwin_lowconf_ratio,mean_person_conf,mean_kpt_conf,status
fall-01,123,104,0.0894,78,0.141,0.141,0.8691,0.8631,OK
fall-02,74,61,0.0405,72,0.0417,0.0694,0.8604,0.8183,OK
fall-03,211,169,0.0,100,0.0,0.38,0.8777,0.7573,OK
fall-04,44,32,0.0227,44,0.0227,0.0227,0.8386,0.7598,OK
fall-05,122,99,0.0,82,0.0,0.1585,0.8393,0.8447,OK
fall-06,100,36,0.0,97,0.0,0.0103,0.8301,0.7828,OK
fall-07,141,103,0.0355,97,0.0515,0.268,0.8334,0.6892,OK
fall-08,91,46,0.0,91,0.0,0.0,0.8577,0.845,OK
fall-09,151,139,0.0066,71,0.0141,0.0423,0.905,0.8563,OK
fall-10,85,55,0.0824,83,0.0723,0.1928,0.78,0.7058,OK
fall-11,130,66,0.0,120,0.0,0.0,0.8548,0.8182,OK
fall-12,106,40,0.0,97,0.0,0.0,0.7851,0.8041,OK
fall-13,147,62,0.0,141,0.0,0.0,0.7252,0.7914,OK
fall-14,113,35,0.0,113,0.0,0.0,0.7591,0.7665,OK
fall-15,54,47,0.0926,54,0.0926,0.0926,0.7895,0.8269,OK
fall-16,55,40,0.0,55,0.0,0.0,0.8661,0.8427,OK
fall-17,76,75,0.0395,60,0.05,0.05,0.8603,0.8876,OK
fall-18,40,35,0.0,40,0.0,0.025,0.8718,0.8496,OK
fall-19,47,47,0.0,47,0.0,0.0213,0.8476,0.8616,OK
fall-20,99,40,0.0,90,0.0,0.0111,0.7116,0.8021,OK
fall-21,39,42,0.0256,39,0.0256,0.0256,0.8226,0.8605,OK
fall-22,44,24,0.2727,44,0.2727,0.2955,0.7607,0.6531,OK
fall-23,51,47,0.0196,51,0.0196,0.0784,0.792,0.7991,OK
fall-24,36,28,0.0,36,0.0,0.0,0.8874,0.8466,OK
fall-25,67,64,0.0,62,0.0,0.0484,0.8846,0.9153,OK
fall-26,38,35,0.0,38,0.0,0.0,0.898,0.856,OK
fall-27,74,73,0.0,60,0.0,0.05,0.9054,0.9256,OK
fall-28,52,48,0.0,52,0.0,0.0577,0.8921,0.8492,OK
fall-29,82,71,0.1463,70,0.1714,0.1857,0.8154,0.8194,OK
fall-30,47,47,0.0,47,0.0,0.0,0.9145,0.8759,OK
