p,fold,theta,ewr05,fa_per_min
99.0,0,0.9064,0.0,1.0772
99.0,1,0.7969,0.0,2.2209
99.0,2,0.9419,0.1667,9.1313
99.0,3,0.9155,0.0,1.2237
99.0,4,0.7194,0.1667,1.9449
97.5,0,0.8729,0.0,2.1544
97.5,1,0.7334,0.0,4.4417
97.5,2,0.8766,0.1667,11.4141
97.5,3,0.8497,0.1667,1.2237
97.5,4,0.6063,0.1667,3.8898
95.0,0,0.8077,0.0,3.2316
95.0,1,0.6031,0.1667,4.4417
95.0,2,0.7725,0.1667,17.1211
95.0,3,0.7703,0.0,6.1183
95.0,4,0.537,0.0,7.7796
90.0,0,0.6914,0.3333,3.2316
90.0,1,0.4723,0.3333,9.9938
90.0,2,0.5507,0.1667,21.6867
90.0,3,0.6564,0.1667,8.5656
90.0,4,0.4663,0.0,13.6143
85.0,0,0.5745,0.1667,8.6176
85.0,1,0.4417,0.1667,15.546
85.0,2,0.4258,0.1667,25.111
85.0,3,0.5366,0.3333,11.0129
85.0,4,0.4482,0.0,24.3112
80.0,0,0.5108,0.1667,12.9264
80.0,1,0.4204,0.3333,18.8772
80.0,2,0.3511,0.0,26.2524
80.0,3,0.4605,0.0,17.1312
80.0,4,0.4283,0.0,24.3112
75.0,0,0.4806,0.1667,17.2352
75.0,1,0.3895,0.1667,24.4294
75.0,2,0.2868,0.0,26.2524
75.0,3,0.4078,0.0,20.8022
75.0,4,0.4136,0.0,27.2285
70.0,0,0.4572,0.0,16.158
70.0,1,0.3737,0.1667,25.5398
70.0,2,0.2378,0.0,28.5352
70.0,3,0.3773,0.0,20.8022
70.0,4,0.3993,0.1667,26.2561
60.0,0,0.3961,0.1667,18.3124
60.0,1,0.3401,0.3333,24.4294
60.0,2,0.1759,0.0,31.9594
60.0,3,0.326,0.0,22.0258
60.0,4,0.3749,0.0,22.3663
50.0,0,0.3278,0.3333,18.3124
50.0,1,0.3216,0.3333,21.0981
50.0,2,0.1237,0.0,30.818
50.0,3,0.2891,0.1667,24.4731
50.0,4,0.344,0.0,19.4489
